Side,First Name,Middle Name,Last name,Email Address,Phone Number,Mehndi,Sangeet,Haldi,Wedding Ceremony,Reception,Group
Bride,Raju,S,Sharma,raju.sharma@examle.com,293,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,294,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,295,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,296,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,297,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,298,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,299,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,300,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,301,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,302,,YES,,,,Dance friends
Bride,Raju,N,Sharma,raju.sharma@examle.com,303,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,R,Verma,rani.v@abc.com,304,,Yes,,Yes,,USC friends
Bride,Bikram,P,Singh,b.simgh@yy.com,305,,,,,Yes,Undergrad friends
Groom,Amar,J,Singh,a.singh@abc.com,306,,,NO,YES,,Indian Society
Bride,Ram,K,Singh,ram@a.com,307,,YES,,,,Dance friends
Bride,Raju,A,Sharma,raju.sharma@examle.com,308,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,A,Verma,rani.v@abc.com,309,,Yes,,Yes,,USC friends
Bride,Bikram,B,Singh,b.simgh@yy.com,310,,,,,Yes,Undergrad friends
Groom,Amar,C,Singh,a.singh@abc.com,311,,,NO,YES,,Indian Society
Bride,Ram,Q,Singh,ram@a.com,312,,YES,,,,Dance friends
Bride,Raju,W,Sharma,raju.sharma@examle.com,313,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,E,Verma,rani.v@abc.com,314,,Yes,,Yes,,USC friends
Bride,Bikram,R,Singh,b.simgh@yy.com,315,,,,,Yes,Undergrad friends
Groom,Amar,T,Singh,a.singh@abc.com,316,,,NO,YES,,Indian Society
Bride,Ram,Y,Singh,ram@a.com,317,,YES,,,,Dance friends
Bride,Raju,U,Sharma,raju.sharma@examle.com,318,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,I,Verma,rani.v@abc.com,319,,Yes,,Yes,,USC friends
Bride,Bikram,O,Singh,b.simgh@yy.com,320,,,,,Yes,Undergrad friends
Groom,Amar,P,Singh,a.singh@abc.com,321,,,NO,YES,,Indian Society
Bride,Ram,A,Singh,ram@a.com,322,,YES,,,,Dance friends
Bride,Raju,S,Sharma,raju.sharma@examle.com,323,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,D,Verma,rani.v@abc.com,324,,Yes,,Yes,,USC friends
Bride,Bikram,F,Singh,b.simgh@yy.com,325,,,,,Yes,Undergrad friends
Groom,Amar,G,Singh,a.singh@abc.com,326,,,NO,YES,,Indian Society
Bride,Ram,H,Singh,ram@a.com,327,,YES,,,,Dance friends
Bride,Raju,I,Sharma,raju.sharma@examle.com,328,Yes,No,No,Yes,,Jain Mandir
Groom,Rani,J,Verma,rani.v@abc.com,329,,Yes,,Yes,,USC friends
Bride,Bikram,L,Singh,b.simgh@yy.com,330,,,,,Yes,Undergrad friends
Groom,Amar,Z,Singh,a.singh@abc.com,331,,,NO,YES,,Indian Society
Bride,Ram,C,Singh,ram@a.com,332,,YES,,,,Dance friends
